tmdbId,Title,Release_Date,TMDb_Rating,Genres,Cast,Director,Overview,Original_Title,movieId,User_Avg_Rating,Rating_Norm
23169,Remember Me,2010-03-11,7.109,"Drama, Romance","Robert Pattinson, Emilie de Ravin, Pierce Brosnan, Lena Olin, Chris Cooper",Allen Coulter,"Still reeling from a heartbreaking family event and his parents' subsequent divorce, Tyler Hawkins discovers a fresh lease on life when he meets Ally Craig, a gregarious beauty who witnessed her mother's death. But as the couple draws closer, the fallout from their separate tragedies jeopardizes their love.",Remember Me (2010),75341,3.44529262086514,0.689058524173028
44363,Frozen,2010-02-05,5.992,Thriller,"Emma Bell, Shawn Ashmore, Kevin Zegers, Ed Ackerman, Rileah Vanderbilt",Adam Green,"When three skiers find themselves stranded on a chair lift at a New England ski resort that has closed for the next week, they are forced to make life or death choices that prove to be more perilous than staying put and freezing to death.",Frozen (2010),75395,3.0965346534653464,0.6193069306930693
34563,Our Family Wedding,2010-03-12,5.616,Comedy,"Forest Whitaker, America Ferrera, Carlos Mencia, Regina King, Lance Gross",Rick Famuyiwa,"The weeks leading up to a young couple's wedding is comic and stressful, especially as their respective fathers try to lay to rest their feud.",Our Family Wedding (2010),75803,2.6818181818181817,0.5363636363636364
27573,The Bounty Hunter,2010-03-16,5.851,"Action, Comedy, Romance","Gerard Butler, Jennifer Aniston, Peter Greene, Jeff Garlin, Jason Sudeikis",Andy Tennant,"Milo Boyd, a down-on-his-luck bounty hunter, thinks he's seeing an upswing in fortune when he gets a call to bring in his bail-jumping ex-wife, a reporter named Nicole. Milo considers the job an easy payday, but Nicole quickly escapes to chase a lead on a murder case. The former spouses play an escalating game of one-upmanship, until they suddenly find themselves on the run for their lives.","Bounty Hunter, The (2010)",75805,2.9040114613180514,0.5808022922636102
31867,Repo Men,2010-03-18,6.334,"Action, Science Fiction, Thriller, Crime","Jude Law, Forest Whitaker, Alice Braga, Liev Schreiber, Carice van Houten",Miguel Sapochnik,"In the future, medical technology has advanced to the point where people can buy artificial organs to extend their lives. But if they default on payments, an organization known as the Union sends agents to repossess the organs. Remy is one of the best agents in the business, but when he becomes the recipient of an artificial heart, he finds himself in the same dire straits as his many victims.",Repo Men (2010),75985,3.259198691741619,0.6518397383483239
23048,Hot Tub Time Machine,2010-03-26,6.041,"Science Fiction, Comedy, Adventure","John Cusack, Craig Robinson, Rob Corddry, Clark Duke, Sebastian Stan",Steve Pink,"Four pals are stuck in a rut in adulthood: Adam has just been dumped, Lou is a hopeless party animal, Nick is a henpecked husband, and Jacob does nothing but play video games in his basement. But they get a chance to brighten their future by changing their past after a night of heavy drinking in a ski-resort hot tub results in their waking up in 1986.",Hot Tub Time Machine (2010),76077,3.105145797598628,0.6210291595197256
10191,How to Train Your Dragon,2010-03-18,7.852,"Fantasy, Adventure, Animation, Family","Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera, Jonah Hill","Chris Sanders, Dean DeBlois","As the son of a Viking leader on the cusp of manhood, shy Hiccup Horrendous Haddock III faces a rite of passage: he must kill a dragon to prove his warrior mettle. But after downing a feared dragon, he realizes that he no longer wants to destroy it, and instead befriends the beast – which he names Toothless – much to the chagrin of his warrior father.",How to Train Your Dragon (2010),76093,3.9112629219981203,0.7822525843996241
18823,Clash of the Titans,2010-03-26,5.917,"Adventure, Fantasy, Action","Sam Worthington, Gemma Arterton, Mads Mikkelsen, Alexa Davalos, Jason Flemyng",Louis Leterrier,"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.",Clash of the Titans (2010),76175,2.7090418913313976,0.5418083782662795
39830,Bass Ackwards,2010-01-23,4.857,"Adventure, Comedy","Linas Phillips, Davie-Blue, Jim Fletcher, Alex Karpovsky",Linas Phillips,"A man coming off a disastrous affair with a married woman has a lyrical, strange and comedic cross-country journey in a modified VW bus.",Bass Ackwards (2010),76217,3.0,0.6
23483,Kick-Ass,2010-03-26,7.121,"Action, Crime","Aaron Taylor-Johnson, Chloë Grace Moretz, Nicolas Cage, Lyndsy Fonseca, Mark Strong",Matthew Vaughn,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a super-hero, even though he has no powers, training or meaningful reason to do so.",Kick-Ass (2010),76251,3.610361768646717,0.7220723537293434
35056,Date Night,2010-04-08,6.105,"Comedy, Action, Adventure","Steve Carell, Tina Fey, Mark Wahlberg, Taraji P. Henson, Jimmi Simpson",Shawn Levy,"Phil and Claire Foster fear that their mild-mannered relationship may be falling into a stale rut. During their weekly date night, their dinner reservation leads to their being mistaken for a couple of thieves—and now a number of unsavoury characters want Phil and Claire killed.",Date Night (2010),76293,3.2038004750593823,0.6407600950118765
52903,Steam of Life,2010-03-26,7.077,Documentary,"Timo Aalto, Pekka Ahonen, Aarne Aksila, Mauno Alasuutari, Arto Blomqvist","Joonas Berghäll, Mika Hotakainen","Finnish men in sauna, speaking straight from the heart.",Steam of Life (Miesten vuoro) (2010),76738,3.787878787878788,0.7575757575757576
34583,The Final,2010-01-28,6.02,"Thriller, Horror","Marc Donato, Jascha Washington, Whitney Hoy, Justin Arnold, Lindsay Seidel",Joey Stewart,A group of high school outcasts get revenge on the students that torment them.,"Final, The (2010)",76753,2.9152542372881354,0.583050847457627
27586,The Runaways,2010-03-19,6.45,"Music, Drama, History","Kristen Stewart, Dakota Fanning, Michael Shannon, Stella Maeve, Scout Taylor-Compton",Floria Sigismondi,"Joan Jett and Cherie Currie, two rebellious teenagers from Southern California, become the frontwomen for The Runaways -- the now-legendary group that paved the way for future generations of female rockers. Under the Svengali-like influence of impresario Kim Fowley, the band becomes a huge success.","Runaways, The (2010)",76763,3.3101736972704714,0.6620347394540943
34803,Death at a Funeral,2010-04-15,5.871,Comedy,"Chris Rock, Martin Lawrence, Zoe Saldaña, Tracy Morgan, Regina Hall",Neil LaBute,"Aaron's father's funeral is today at the family home, and everything goes wrong: the funeral home delivers the wrong body, his cousin accidentally drugs her fiancé, and Aaron's successful younger brother, Ryan, flies in from New York, broke but arrogant. To top it all off, a mysterious stranger wants a word with Aaron.",Death at a Funeral (2010),77191,2.974006116207951,0.5948012232415902
33217,Diary of a Wimpy Kid,2010-03-19,6.257,"Comedy, Family","Zachary Gordon, Robert Capron, Steve Zahn, Devon Bostick, Rachael Harris",Thor Freudenthal,"Greg Heffley is headed for big things, but first he has to survive the scariest, most humiliating experience of any kid’s life – middle school! That won’t be easy, considering he’s surrounded by hairy-freckled morons, wedgie-loving bullies and a moldy slice of cheese with nuclear cooties!",Diary of a Wimpy Kid (2010),77206,3.0086805555555554,0.601736111111111
34813,The Losers,2010-04-23,6.257,"Action, Adventure, Crime, Mystery, Thriller","Jeffrey Dean Morgan, Zoe Saldaña, Chris Evans, Idris Elba, Columbus Short",Sylvain White,"On a mission deep in the Bolivian jungle, a team of elite commandos finds itself on the receiving end of a lethal betrayal. Now presumed dead, the men join forces with a mysterious operative named Aisha to hunt down their enemy and even the score.","Losers, The (2010)",77364,3.1593886462882095,0.6318777292576419
35690,The Last Song,2010-03-31,7.234,"Drama, Family, Romance","Miley Cyrus, Greg Kinnear, Bobby Coleman, Liam Hemsworth, Hallock Beals",Julie Anne Robinson,"A drama centered on a rebellious girl who is sent to a Southern beach town for the summer to stay with her father. Through their mutual love of music, the estranged duo learn to reconnect.","Last Song, The (2010)",77414,3.41340206185567,0.682680412371134
39053,Cyrus,2010-06-18,5.933,"Comedy, Drama, Romance","John C. Reilly, Jonah Hill, Marisa Tomei, Catherine Keener, Matt Walsh","Jay Duplass, Mark Duplass","With John's social life at a standstill and his ex-wife about to get remarried, a down on his luck divorcée finally meets the woman of his dreams, only to discover she has another man in her life - her son. Before long, the two are locked in a battle of wits for the woman they both love-and it appears only one man can be left standing when it's over.",Cyrus (2010),77421,3.175213675213675,0.635042735042735
39452,Exit Through the Gift Shop,2010-03-05,7.545,Documentary,"Rhys Ifans, Thierry Guetta, Banksy, Shepard Fairey, INVADER",Banksy,"Banksy is a graffiti artist with a global reputation whose work can be seen on walls from post-hurricane New Orleans to the separation barrier on the Palestinian West Bank. Fiercely guarding his anonymity to avoid prosecution, Banksy has so far resisted all attempts to be captured on film. Exit Through the Gift Shop tells the incredible true story of how an eccentric French shop keeper turned documentary maker attempted to locate and befriend Banksy, only to have the artist turn the camera back on its owner.",Exit Through the Gift Shop (2010),77455,3.889392413561598,0.7778784827123195
10138,Iron Man 2,2010-04-28,6.848,"Adventure, Action, Science Fiction","Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Sam Rockwell",Jon Favreau,"With the world now aware of his dual life as the armored superhero Iron Man, billionaire inventor Tony Stark faces pressure from the government, the press and the public to share his technology with the military. Unwilling to let go of his invention, Stark, with Pepper Potts and James 'Rhodey' Rhodes at his side, must forge new alliances – and confront powerful enemies.",Iron Man 2 (2010),77561,3.4804171988080035,0.6960834397616007
45615,Reindeerspotting: Escape from Santaland,2010-04-09,6.894,Documentary,Jani Raappana,Joonas Neuvonen,"Reindeerspotting is a documentary film of a group of young guys living in Rovaniemi, Arctic Circle, dabbling in petty crime and hard drugs. One of them, Jani, has lost five years of his life and two fingers to his debotators. He wants to leave Lapland and his old life behind. Robbing a supermarket is a start for his getaway. A few years back a documentarist, Joonas Neuvonen, was a young men living on social welfare, using drugs on daily basis. He started to film his friends and their life. This is the story of Jani.",Reindeerspotting - Pako joulumaasta (2010),77629,3.561224489795918,0.7122448979591837
38579,Marmaduke,2010-06-03,5.22,"Family, Comedy","Owen Wilson, Emma Stone, George López, Caroline Sunshine, Finley Jacobsen",Tom Dey,"When Phil and Debbie Winslow relocate from their native Kansas to the sunny climes of Orange County, their big-hearted, havoc-wreaking Great Dane gets a taste of the dog's life, California-style.",Marmaduke (2010),77665,2.2988505747126435,0.45977011494252873
37931,MacGruber,2010-05-21,5.409,"Action, Comedy","Will Forte, Kristen Wiig, Ryan Phillippe, Powers Boothe, Maya Rudolph",Jorma Taccone,"Ex-special operative MacGruber is called back into action to take down his archenemy, Dieter Von Cunth, who's in possession of a nuclear warhead and bent on destroying Washington, DC.",MacGruber (2010),77667,2.7095343680709534,0.5419068736141907
27004,Ca$h,2010-03-01,5.841,"Crime, Thriller, Comedy, Mystery","Sean Bean, Chris Hemsworth, Victoria Profeta, Mike Starr, Michael Mantell",Stephen Milburn Anderson,"A stroke of good luck turns lethal for Sam Phelan and his wife Leslie when they are faced with a life-changing decision that brings strange and sinister Pyke Kubic to their doorstep. As Pyke leads Sam and Leslie on a tumultuous adventure through the streets of Chicago, each are pulled deeper and deeper into a desperate spiral of deception and violence – all in the name of money.",Ca$h (2010),77672,3.0319148936170213,0.6063829787234043
23437,A Nightmare on Elm Street,2010-04-30,5.524,"Horror, Mystery, Thriller","Rooney Mara, Kyle Gallner, Jackie Earle Haley, Katie Cassidy, Thomas Dekker",Samuel Bayer,"Teenagers Nancy, Quentin, Kris, Jesse and Dean are all neighborhood friends who begin having the same dream of a horribly disfigured man who wears a tattered sweater and a glove made of knives. The man terrorizes them in their dreams, and the only escape is to wake up. But when, one by one, they start dying violently, the friends realize that what happens in the dream world is real, and the only way to stay alive is to stay awake.","Nightmare on Elm Street, A (2010)",77798,2.5380067567567566,0.5076013513513513
37495,Four Lions,2010-05-07,6.949,"Comedy, Crime, Drama","Riz Ahmed, Nigel Lindsay, Kayvan Novak, Adeel Akhtar, Arsher Ali",Chris Morris,"Four Lions tells the story of a group of British jihadists who push their abstract dreams of glory to the breaking point. As the wheels fly off, and their competing ideologies clash, what emerges is an emotionally engaging (and entirely plausible) farce.",Four Lions (2010),77800,3.719260533104041,0.7438521066208083
43090,Gunless,2010-04-19,6.3,"Drama, Action, Comedy, Western","Paul Gross, Sienna Guillory, Tyler Mane, Callum Keith Rennie, Dustin Milligan",William Phillips,American gunslinger Sean Rafferty—aka The Montana Kid—is unable to find someone to duel in a Canadian town where no one understands the brutal code of the American Wild West.,Gunless (2010),77818,3.236842105263158,0.6473684210526316
35169,Furry Vengeance,2010-04-30,5.034,"Family, Comedy","Brendan Fraser, Brooke Shields, Ken Jeong, Matt Prokop, Angela Kinsey",Roger Kumble,"When real estate developer Dan Sanders finalizes plans to level a swath of pristine Oregon forest to make way for a soulless housing subdivision, a band of woodland creatures rises up to throw a monkey wrench into the greedy scheme. Just how much mischief from the furry critters can the businessman take before he calls it quits?",Furry Vengeance (2010),77820,1.9573170731707317,0.39146341463414636
37828,Armadillo,2010-05-27,7.04,"Documentary, War","Rasmus, Mads 'Mini', Daniel 'Olby', Kim 'Birkerod'",Janus Metz,"Danish soldiers are sent to Afghanistan in 2009 for 6 months, to help stabilize the country against the Taliban. They're stationed on Armadillo military base in Helman province. Unlike other war movies, this is the real deal – no actors.",Armadillo (2010),77833,3.6215277777777777,0.7243055555555555
36950,You Don't Know Jack,2010-06-27,7.034,"Drama, TV Movie, History","Al Pacino, Danny Huston, Susan Sarandon, John Goodman, Brenda Vaccaro",Barry Levinson,Controversy and legal problems follow Dr. Jack Kevorkian as he advocates assisted suicide.,You Don't Know Jack (2010),77837,3.6384615384615384,0.7276923076923076
20662,Robin Hood,2010-05-12,6.393,"Action, Adventure, History","Russell Crowe, Cate Blanchett, Max von Sydow, William Hurt, Mark Strong",Ridley Scott,"When soldier Robin happens upon the dying Robert of Loxley, he promises to return the man's sword to his family in Nottingham. There, he assumes Robert's identity; romances his widow, Marion; and draws the ire of the town's sheriff and King John's henchman, Godfrey.",Robin Hood (2010),77866,3.1578501904358864,0.6315700380871773
36801,Cemetery Junction,2010-04-14,6.52,"Drama, Comedy","Christian Cooke, Tom Hughes, Jack Doolan, Felicity Jones, Ralph Fiennes","Ricky Gervais, Stephen Merchant","In 1970s England, three blue-collar friends spend their days joking, drinking, fighting and chasing girls. Freddie wants to leave their working-class world but cool, charismatic Bruce and lovable loser Snork are happy with life the way it is. When Freddie gets a new job as a door-to-door salesman and bumps into his old school sweetheart Julie, the gang are forced to make choices that will change their lives for ever.",Cemetery Junction (2010),78034,3.4436274509803924,0.6887254901960784
46705,Blue Valentine,2010-12-26,6.954,"Drama, Romance","Ryan Gosling, Michelle Williams, John Doman, Mike Vogel, Ben Shenkman",Derek Cianfrance,"Dean and Cindy live a quiet life in a modest neighborhood. They appear to have the world at their feet at the outset of the relationship. However, his lack of ambition and her retreat into self-absorption cause potentially irreversible cracks in their marriage.",Blue Valentine (2010),78039,3.6832788671023966,0.7366557734204793
37821,Killers,2010-06-04,5.957,"Action, Comedy, Thriller, Romance","Ashton Kutcher, Katherine Heigl, Tom Selleck, Catherine O'Hara, Katheryn Winnick",Robert Luketic,"When an elite assassin marries a beautiful computer whiz after a whirlwind romance, he gives up the gun and settles down with his new bride. That is, until he learns that someone from his past has put a contract out on his life.",Killers (2010),78041,2.940677966101695,0.588135593220339
